"","ID","Sample","Dataset_description","Chip_ID","Series","Chip_description","PMID","Cell_description","Cell_type","Class"
"103","Hs.6.Tissue_stem_cells.BM_MSC.BMP2_21d.r2","Tissue_stem_cells:bm_msc:bmp2_21d.2","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260673","GSE10315","human BM MSC BMP2 stimulated day 21 rep 2","n/a","Tissue_stem_cells","TSC","TSC"
"104","Hs.6.Tissue_stem_cells.BM_MSC.BMP2_21d.r3","Tissue_stem_cells:bm_msc:bmp2_21d.3","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260674","GSE10315","human BM MSC BMP2 stimulated day 21 rep 3","n/a","Tissue_stem_cells","TSC","TSC"
"105","Hs.6.Tissue_stem_cells.BM_MSC.TGFb3_1d.r1","Tissue_stem_cells:bm_msc:tgfb3_1d.1","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260675","GSE10315","human BM MSC TGFb3 stimulated day 1 rep 1","n/a","Tissue_stem_cells","TSC","TSC"
"106","Hs.6.Tissue_stem_cells.BM_MSC.TGFb3_1d.r2","Tissue_stem_cells:bm_msc:tgfb3_1d.2","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260676","GSE10315","human BM MSC TGFb3 stimulated day 1 rep 2","n/a","Tissue_stem_cells","TSC","TSC"
"107","Hs.6.Tissue_stem_cells.BM_MSC.TGFb3_3d.r1","Tissue_stem_cells:bm_msc:tgfb3_3d.1","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260678","GSE10315","human BM MSC TGFb3 stimulated day 3 rep 1","n/a","Tissue_stem_cells","TSC","TSC"
"108","Hs.6.Tissue_stem_cells.BM_MSC.TGFb3_3d.r2","Tissue_stem_cells:bm_msc:tgfb3_3d.2","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260679","GSE10315","human BM MSC TGFb3 stimulated day 3 rep 2","n/a","Tissue_stem_cells","TSC","TSC"
"109","Hs.6.Tissue_stem_cells.BM_MSC.TGFb3_3d.r3","Tissue_stem_cells:bm_msc:tgfb3_3d.3","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260680","GSE10315","human BM MSC TGFb3 stimulated day 3 rep 3","n/a","Tissue_stem_cells","TSC","TSC"
"110","Hs.6.Tissue_stem_cells.BM_MSC.TGFb3_7d.r1","Tissue_stem_cells:bm_msc:tgfb3_7d.1","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260681","GSE10315","human BM MSC TGFb3 stimulated day 7 rep 1","n/a","Tissue_stem_cells","TSC","TSC"
"111","Hs.6.Tissue_stem_cells.BM_MSC.TGFb3_7d.r2","Tissue_stem_cells:bm_msc:tgfb3_7d.2","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260682","GSE10315","human BM MSC TGFb3 stimulated day 7 rep 2","n/a","Tissue_stem_cells","TSC","TSC"
"112","Hs.6.Tissue_stem_cells.BM_MSC.TGFb3_7d.r3","Tissue_stem_cells:bm_msc:tgfb3_7d.3","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260683","GSE10315","human BM MSC TGFb3 stimulated day 7 rep 3","n/a","Tissue_stem_cells","TSC","TSC"
"113","Hs.6.Tissue_stem_cells.BM_MSC.TGFb3_21d.r1","Tissue_stem_cells:bm_msc:tgfb3_21d.1","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260684","GSE10315","human BM MSC TGFb3 stimulated day 21 rep 1","n/a","Tissue_stem_cells","TSC","TSC"
"114","Hs.6.Tissue_stem_cells.BM_MSC.TGFb3_21d.r2","Tissue_stem_cells:bm_msc:tgfb3_21d.2","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260685","GSE10315","human BM MSC TGFb3 stimulated day 21 rep 2","n/a","Tissue_stem_cells","TSC","TSC"
"115","Hs.6.Tissue_stem_cells.BM_MSC.TGFb3_21d.r3","Tissue_stem_cells:bm_msc:tgfb3_21d.3","human mesenchymal stromal cell TGF_3/BMP2.induced chondrogenesis","GSM260686","GSE10315","human BM MSC TGFb3 stimulated day 21 rep 3","n/a","Tissue_stem_cells","TSC","TSC"
"116","Hs.73.Tissue_stem_cells.CD326.CD56._mesodem_prog..r1","Tissue_stem_cells:cd326.cd56._mesodem_prog..1","Day 3.5 mesodermal progenitor (CD326neg CD56.) population","GSM540714","GSE21668","Mesodermal progenitor population, 1","20643952","Tissue_stem_cells","TSC","TSC"
"117","Hs.73.Tissue_stem_cells.CD326.CD56._mesodem_prog..r2","Tissue_stem_cells:cd326.cd56._mesodem_prog..2","Day 3.5 mesodermal progenitor (CD326neg CD56.) population","GSM540715","GSE21668","Mesodermal progenitor population, 2","20643952","Tissue_stem_cells","TSC","TSC"
"118","Hs.73.Tissue_stem_cells.CD326.CD56._mesodem_prog..rr3","Tissue_stem_cells:cd326.cd56._mesodem_prog..3","Day 3.5 mesodermal progenitor (CD326neg CD56.) population","GSM540716","GSE21668","Mesodermal progenitor population, 3","20643952","Tissue_stem_cells","TSC","TSC"
"119","Hs.8.Tissue_stem_cells.dental_pulp.passage_4.r2","Tissue_stem_cells:dental_pulp:passage_4.1","human dental pulp stem cells","GSM265494","GSE10444","dental pulp cells (DP2) at passage 4","18573990","Tissue_stem_cells","TSC","TSC"
"120","Hs.8.Tissue_stem_cells.dental_pulp.passage_10.r2","Tissue_stem_cells:dental_pulp:passage_10.1","human dental pulp stem cells","GSM265495","GSE10444","dental pulp cells (DP2) at passage 10","18573990","Tissue_stem_cells","TSC","TSC"
"121","Hs.8.Tissue_stem_cells.dental_pulp.passage_4.r28","Tissue_stem_cells:dental_pulp:passage_4.1","human dental pulp stem cells","GSM265496","GSE10444","dental pulp cells (DP28) at passage 4","18573990","Tissue_stem_cells","TSC","TSC"
"122","Hs.8.Tissue_stem_cells.dental_pulp.passage_10.r28","Tissue_stem_cells:dental_pulp:passage_10.1","human dental pulp stem cells","GSM265497","GSE10444","dental pulp cells (DP28) at passage 10","18573990","Tissue_stem_cells","TSC","TSC"
"123","Hs.8.Tissue_stem_cells.dental_pulp.passage_4.r31","Tissue_stem_cells:dental_pulp:passage_4.1","human dental pulp stem cells","GSM265498","GSE10444","dental pulp cells (DP31) at passage 4","18573990","Tissue_stem_cells","TSC","TSC"
"124","Hs.8.Tissue_stem_cells.dental_pulp.passage_10.r31","Tissue_stem_cells:dental_pulp:passage_10.1","human dental pulp stem cells","GSM265499","GSE10444","dental pulp cells (DP31) at passage 10","18573990","Tissue_stem_cells","TSC","TSC"
"125","Hs.19.Epithelial_cells.bladder.r8","Epithelial_cells:bladder.1","control urothelial cells","GSM299095","GSE11839","human cultured bladder HB DM, subject 8","18951569","Epithelial_cells","Epith","Epith"
"126","Hs.19.Epithelial_cells.bladder.r12","Epithelial_cells:bladder.2","control urothelial cells","GSM299096","GSE11839","human cultured bladder HB DM, subject 12","18951569","Epithelial_cells","Epith","Epith"
"127","Hs.19.Epithelial_cells.bladder.r13","Epithelial_cells:bladder.3","control urothelial cells","GSM299097","GSE11839","human cultured bladder HB DM, subject 13","18951569","Epithelial_cells","Epith","Epith"
"128","Hs.19.Epithelial_cells.bladder.r8","Epithelial_cells:bladder.4","control urothelial cells","GSM299098","GSE11839","human cultured bladder HB KM, subject 8","18951569","Epithelial_cells","Epith","Epith"
"129","Hs.19.Epithelial_cells.bladder.r12","Epithelial_cells:bladder.5","control urothelial cells","GSM299099","GSE11839","human cultured bladder HB KM, subject 12","18951569","Epithelial_cells","Epith","Epith"
"130","Hs.19.Epithelial_cells.bladder.r13","Epithelial_cells:bladder.6","control urothelial cells","GSM299100","GSE11839","human cultured bladder HB KM, subject 13","18951569","Epithelial_cells","Epith","Epith"
"131","Hs.88.Epithelial_cells.bronchial.d0.r1","Epithelial_cells:bronchial:d0.1","Human bronchial epithelial cell differentiation time course","GSM119354","GSE5264","Bronchial epithelial cells, day 0, donor 1","17413031","Epithelial_cells","Epith","Epith"
"132","Hs.88.Epithelial_cells.bronchial.d8.r1","Epithelial_cells:bronchial:d8.1","Human bronchial epithelial cell differentiation time course","GSM119357","GSE5264","Bronchial epithelial cells, day 8, donor 1","17413031","Epithelial_cells","Epith","Epith"
"133","Hs.88.Epithelial_cells.bronchial.d14.r1","Epithelial_cells:bronchial:d14.1","Human bronchial epithelial cell differentiation time course","GSM119359","GSE5264","Bronchial epithelial cells, day 14, donor 1","17413031","Epithelial_cells","Epith","Epith"
"134","Hs.88.Epithelial_cells.bronchial.d21.r1","Epithelial_cells:bronchial:d21.1","Human bronchial epithelial cell differentiation time course","GSM119360","GSE5264","Bronchial epithelial cells, day 21, donor 1","17413031","Epithelial_cells","Epith","Epith"
"135","Hs.88.Epithelial_cells.bronchial.d28.r1","Epithelial_cells:bronchial:d28.1","Human bronchial epithelial cell differentiation time course","GSM119361","GSE5264","Bronchial epithelial cells, day 28, donor 1","17413031","Epithelial_cells","Epith","Epith"
"136","Hs.88.Epithelial_cells.bronchial.d0.r2","Epithelial_cells:bronchial:d0.1","Human bronchial epithelial cell differentiation time course","GSM119362","GSE5264","Bronchial epithelial cells, day 0, donor 2","17413031","Epithelial_cells","Epith","Epith"
"137","Hs.88.Epithelial_cells.bronchial.d8.r2","Epithelial_cells:bronchial:d8.1","Human bronchial epithelial cell differentiation time course","GSM119366","GSE5264","Bronchial epithelial cells, day 8, donor 2","17413031","Epithelial_cells","Epith","Epith"
"138","Hs.88.Epithelial_cells.bronchial.d14.r2","Epithelial_cells:bronchial:d14.1","Human bronchial epithelial cell differentiation time course","GSM119369","GSE5264","Bronchial epithelial cells, day 14, donor 2","17413031","Epithelial_cells","Epith","Epith"
"139","Hs.88.Epithelial_cells.bronchial.d21.r2","Epithelial_cells:bronchial:d21.1","Human bronchial epithelial cell differentiation time course","GSM119371","GSE5264","Bronchial epithelial cells, day 21, donor 2","17413031","Epithelial_cells","Epith","Epith"
"140","Hs.88.Epithelial_cells.bronchial.d28.r2","Epithelial_cells:bronchial:d28.1","Human bronchial epithelial cell differentiation time course","GSM119372","GSE5264","Bronchial epithelial cells, day 28, donor 2","17413031","Epithelial_cells","Epith","Epith"
"141","Hs.33.Fibroblasts.foreskin.cntrl_24h.r1","Fibroblasts:foreskin:cntrl_24h.1","human foreskin fibroblasts infected with Trypanosoma cruzi","GSM346943","GSE13791","Fibroblasts uninfected control, biological rep 1","19480704","Fibroblasts","Fblast","Fblast"
"142","Hs.33.Fibroblasts.foreskin.cntrl_24h.r2","Fibroblasts:foreskin:cntrl_24h.2","human foreskin fibroblasts infected with Trypanosoma cruzi","GSM346944","GSE13791","Fibroblasts uninfected control, biological rep 2","19480704","Fibroblasts","Fblast","Fblast"
"143","Hs.33.Fibroblasts.foreskin.T._cruzi_24h.r1","Fibroblasts:foreskin:t._cruzi_24h.1","human foreskin fibroblasts infected with Trypanosoma cruzi","GSM346941","GSE13791","Fibroblasts infected with T. cruzi, biological rep 1","19480704","Fibroblasts","Fblast","Fblast"
"144","Hs.33.Fibroblasts.foreskin.T._cruzi_24h.r2","Fibroblasts:foreskin:t._cruzi_24h.2","human foreskin fibroblasts infected with Trypanosoma cruzi","GSM346942","GSE13791","Fibroblasts infected with T. cruzi, biological rep 2","19480704","Fibroblasts","Fblast","Fblast"
"145","Hs.33.Fibroblasts.breast.r1","Fibroblasts:breast.1","human foreskin fibroblasts infected with Trypanosoma cruzi","GSM501890","GSE13791","normal fibroblast_case1","19480704","Fibroblasts","Fblast","Fblast_B"
"146","Hs.33.Fibroblasts.breast.r2","Fibroblasts:breast.2","human foreskin fibroblasts infected with Trypanosoma cruzi","GSM501891","GSE13791","normal fibroblast_case2","19480704","Fibroblasts","Fblast","Fblast_B"
"147","Hs.33.Fibroblasts.breast.r5","Fibroblasts:breast.3","human foreskin fibroblasts infected with Trypanosoma cruzi","GSM501892","GSE13791","normal fibroblast_case5","19480704","Fibroblasts","Fblast","Fblast_B"
"148","Hs.33.Fibroblasts.breast.r6","Fibroblasts:breast.4","human foreskin fibroblasts infected with Trypanosoma cruzi","GSM501893","GSE13791","normal fibroblast_case6","19480704","Fibroblasts","Fblast","Fblast_B"
"149","Hs.33.Fibroblasts.breast.r7","Fibroblasts:breast.5","human foreskin fibroblasts infected with Trypanosoma cruzi","GSM501894","GSE13791","normal fibroblast_case7","19480704","Fibroblasts","Fblast","Fblast_B"
"150","Hs.33.Fibroblasts.breast.r8","Fibroblasts:breast.6","human foreskin fibroblasts infected with Trypanosoma cruzi","GSM501895","GSE13791","normal fibroblast_case8","19480704","Fibroblasts","Fblast","Fblast_B"
"151","Hs.24.Endothelial_cells.HUVEC.cntrl.r1","Endothelial_cells:huvec:cntrl.1","Bacillus anthracis lethal toxin (LT).intoxicated HUVECs","GSM305784","GSE12131","HUVECs Non intoxicated Rep1","20088950","Endothelial_cells","Endoth","Endoth"
"152","Hs.24.Endothelial_cells.HUVEC.cntrl.r2","Endothelial_cells:huvec:cntrl.2","Bacillus anthracis lethal toxin (LT).intoxicated HUVECs","GSM305785","GSE12131","HUVECs Non intoxicated Rep2","20088950","Endothelial_cells","Endoth","Endoth"
"153","Hs.24.Endothelial_cells.HUVEC.B._anthracis_LT_4h.r1","Endothelial_cells:huvec:b._anthracis_lt.1","Bacillus anthracis lethal toxin (LT).intoxicated HUVECs","GSM305786","GSE12131","HUVECs Intoxicated by LT _4h","20088950","Endothelial_cells","Endoth","Endoth"
"154","Hs.24.Endothelial_cells.HUVEC.B._anthracis_LT_8h.r2","Endothelial_cells:huvec:b._anthracis_lt.2","Bacillus anthracis lethal toxin (LT).intoxicated HUVECs","GSM305787","GSE12131","HUVECs Intoxicated by LT 8h","20088950","Endothelial_cells","Endoth","Endoth"
"155","Hs.31.Endothelial_cells.HUVEC.cntrl.r1","Endothelial_cells:huvec:cntrl.1","Influenza virus infected HUVEC","GSM330313","GSE13637","HUVEC control_V1","19786538","Endothelial_cells","Endoth","Endoth"
"156","Hs.31.Endothelial_cells.HUVEC.cntrl.r2","Endothelial_cells:huvec:cntrl.2","Influenza virus infected HUVEC","GSM335393","GSE13637","HUVEC control_V2","19786538","Endothelial_cells","Endoth","Endoth"
"157","Hs.31.Endothelial_cells.HUVEC.cntrl.r3","Endothelial_cells:huvec:cntrl.3","Influenza virus infected HUVEC","GSM335851","GSE13637","HUVEC control_V3","19786538","Endothelial_cells","Endoth","Endoth"
"158","Hs.31.Endothelial_cells.HUVEC.FPV.infected.r1","Endothelial_cells:huvec:fpv.infected.1","Influenza virus infected HUVEC","GSM330314","GSE13637","FPV.infected HUVEC_V1","19786538","Endothelial_cells","Endoth","Endoth"
"159","Hs.31.Endothelial_cells.HUVEC.FPV.infected.r2","Endothelial_cells:huvec:fpv.infected.2","Influenza virus infected HUVEC","GSM335395","GSE13637","FPV.infected HUVEC_V2","19786538","Endothelial_cells","Endoth","Endoth"
"160","Hs.31.Endothelial_cells.HUVEC.FPV.infected.r3","Endothelial_cells:huvec:fpv.infected.3","Influenza virus infected HUVEC","GSM335859","GSE13637","FPV.infected HUVEC_V3","19786538","Endothelial_cells","Endoth","Endoth"
"161","Hs.31.Endothelial_cells.HUVEC.PR8.infected.r1","Endothelial_cells:huvec:pr8.infected.1","Influenza virus infected HUVEC","GSM330315","GSE13637","PR8.infected HUVEC_V1","19786538","Endothelial_cells","Endoth","Endoth"
"162","Hs.31.Endothelial_cells.HUVEC.PR8.infected.r2","Endothelial_cells:huvec:pr8.infected.2","Influenza virus infected HUVEC","GSM335396","GSE13637","PR8.infected HUVEC_V2","19786538","Endothelial_cells","Endoth","Endoth"
"163","Hs.31.Endothelial_cells.HUVEC.PR8.infected.r3","Endothelial_cells:huvec:pr8.infected.3","Influenza virus infected HUVEC","GSM335904","GSE13637","PR8.infected HUVEC_V3","19786538","Endothelial_cells","Endoth","Endoth"
"164","Hs.31.Endothelial_cells.HUVEC.H5N1.infected.r1","Endothelial_cells:huvec:h5n1.infected.1","Influenza virus infected HUVEC","GSM330316","GSE13637","H5N1.infected HUVEC_V1","19786538","Endothelial_cells","Endoth","Endoth"
"165","Hs.31.Endothelial_cells.HUVEC.H5N1.infected.r2","Endothelial_cells:huvec:h5n1.infected.2","Influenza virus infected HUVEC","GSM335906","GSE13637","H5N1.infected HUVEC_V2","19786538","Endothelial_cells","Endoth","Endoth"
"166","Hs.31.Endothelial_cells.HUVEC.H5N1.infected.r3","Endothelial_cells:huvec:h5n1.infected.3","Influenza virus infected HUVEC","GSM336559","GSE13637","H5N1.infected HUVEC_V3","19786538","Endothelial_cells","Endoth","Endoth"
"167","Hs.33.Endothelial_cells.HUVEC.r1","Endothelial_cells:huvec.1","human microvascular endothelial cells","GSM346951","GSE13791","Endothelial cells uninfected control, biological rep 1","n/a","Endothelial_cells","Endoth","Endoth"
"168","Hs.33.Endothelial_cells.HUVEC.r2","Endothelial_cells:huvec.2","human microvascular endothelial cells","GSM346952","GSE13791","Endothelial cells uninfected control, biological rep 2","n/a","Endothelial_cells","Endoth","Endoth"
"169","Hs.46.Endothelial_cells.HUVEC.cntrl.","Endothelial_cells:huvec.3","VEGF induction of HUVEC","GSM385333","GSE15464","HUVEC_uninduced","19718476","Endothelial_cells","Endoth","Endoth"
"170","Hs.46.Endothelial_cells.HUVEC.VEGF_30min.","Endothelial_cells:huvec.vegf.1","VEGF induction of HUVEC","GSM385338","GSE15464","HUVEC_VEGF_30min","19718476","Endothelial_cells","Endoth","Endoth"
"171","Hs.46.Endothelial_cells.HUVEC.VEGF_60min.","Endothelial_cells:huvec.vegf.2","VEGF induction of HUVEC","GSM385350","GSE15464","HUVEC_VEGF_60min","19718476","Endothelial_cells","Endoth","Endoth"
"172","Hs.46.Endothelial_cells.HUVEC.VEGF_150min.","Endothelial_cells:huvec.vegf.3","VEGF induction of HUVEC","GSM385353","GSE15464","HUVEC_VEGF_150min","19718476","Endothelial_cells","Endoth","Endoth"
"173","Hs.50.Endothelial_cells.lymphatic.cntrl.r1","Endothelial_cells:lymphatic:cntrl.1","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410666","GSE16354","LEC control, rep1","n/a","Endothelial_cells","Endoth","Endoth"
"174","Hs.50.Endothelial_cells.lymphatic.cntrl.r2","Endothelial_cells:lymphatic:cntrl.2","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410667","GSE16354","LEC control, rep2","n/a","Endothelial_cells","Endoth","Endoth"
"175","Hs.50.Endothelial_cells.lymphatic.cntrl.r3","Endothelial_cells:lymphatic:cntrl.3","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410668","GSE16354","LEC control, rep3","n/a","Endothelial_cells","Endoth","Endoth"
"176","Hs.50.Endothelial_cells.lymphatic.cntrl.r4","Endothelial_cells:lymphatic:cntrl.4","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410669","GSE16354","LEC control, rep4","n/a","Endothelial_cells","Endoth","Endoth"
"177","Hs.50.Endothelial_cells.lymphatic.KSHV_72h.r1","Endothelial_cells:lymphatic:kshv_72h.1","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410672","GSE16354","LEC KSHV 72h, rep1","n/a","Endothelial_cells","Endoth","Endoth"
"178","Hs.50.Endothelial_cells.lymphatic.KSHV_72h.r2","Endothelial_cells:lymphatic:kshv_72h.2","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410673","GSE16354","LEC KSHV 72h, rep2","n/a","Endothelial_cells","Endoth","Endoth"
"179","Hs.50.Endothelial_cells.lymphatic.KSHV_72h.r3","Endothelial_cells:lymphatic:kshv_72h.3","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410674","GSE16354","LEC KSHV 72h, rep3","n/a","Endothelial_cells","Endoth","Endoth"
"180","Hs.50.Endothelial_cells.lymphatic.KSHV_72h.r4","Endothelial_cells:lymphatic:kshv_72h.4","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410675","GSE16354","LEC KSHV 72h, rep4","n/a","Endothelial_cells","Endoth","Endoth"
"181","Hs.50.Endothelial_cells.blood_vessel.cntrl.r1","Endothelial_cells:blood_vessel:cntrl.1","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410678","GSE16354","BEC control, rep1","n/a","Endothelial_cells","Endoth","Endoth"
"182","Hs.50.Endothelial_cells.blood_vessel.cntrl.r2","Endothelial_cells:blood_vessel:cntrl.2","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410679","GSE16354","BEC control, rep2","n/a","Endothelial_cells","Endoth","Endoth"
"183","Hs.50.Endothelial_cells.blood_vessel.cntrl.r3","Endothelial_cells:blood_vessel:cntrl.3","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410680","GSE16354","BEC control, rep3","n/a","Endothelial_cells","Endoth","Endoth"
"184","Hs.50.Endothelial_cells.blood_vessel.cntrl.r4","Endothelial_cells:blood_vessel:cntrl.4","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410681","GSE16354","BEC control, rep4","n/a","Endothelial_cells","Endoth","Endoth"
"185","Hs.50.Endothelial_cells.blood_vessel.KSHV_72h.r1","Endothelial_cells:blood_vessel:kshv_72h.1","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410684","GSE16354","BEC KSHV 72h, rep1","n/a","Endothelial_cells","Endoth","Endoth"
"186","Hs.50.Endothelial_cells.blood_vessel.KSHV_72h.r2","Endothelial_cells:blood_vessel:kshv_72h.2","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410685","GSE16354","BEC KSHV 72h, rep2","n/a","Endothelial_cells","Endoth","Endoth"
"187","Hs.50.Endothelial_cells.blood_vessel.KSHV_72h.r3","Endothelial_cells:blood_vessel:kshv_72h.3","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410686","GSE16354","BEC KSHV 72h, rep3","n/a","Endothelial_cells","Endoth","Endoth"
"188","Hs.50.Endothelial_cells.blood_vessel.KSHV_72h.r4","Endothelial_cells:blood_vessel:kshv_72h.4","Infection of Lymphatic and Blood Vessel Endothelial Cells (LEC and BEC) with KSHV","GSM410687","GSE16354","BEC KSHV 72h, rep4","n/a","Endothelial_cells","Endoth","Endoth"
"189","Hs.65.Endothelial_cells.HUVEC.cntrl_0h.","Endothelial_cells:huvec:cntrl.1","IL.1beta stimulated and non.stimulated endothelial cells","GSM476782","GSE19240","Endothelial cells; control; 0h","n/a","Endothelial_cells","Endoth","Endoth"
"190","Hs.65.Endothelial_cells.HUVEC.cntrl_16h.","Endothelial_cells:huvec:cntrl.2","IL.1beta stimulated and non.stimulated endothelial cells","GSM476785","GSE19240","Endothelial cells; control; 16h","n/a","Endothelial_cells","Endoth","Endoth"
"191","Hs.65.Endothelial_cells.HUVEC.IL.1b_4h.","Endothelial_cells:huvec.il.1b.1","IL.1beta stimulated and non.stimulated endothelial cells","GSM476783","GSE19240","Endothelial cells; IL.1beta; 4h","n/a","Endothelial_cells","Endoth","Endoth"
"192","Hs.65.Endothelial_cells.HUVEC.IL.1b_8h.","Endothelial_cells:huvec.il.1b.2","IL.1beta stimulated and non.stimulated endothelial cells","GSM476784","GSE19240","Endothelial cells; IL.1beta; 8h","n/a","Endothelial_cells","Endoth","Endoth"
"193","Hs.65.Endothelial_cells.HUVEC.IL.1b_16h.","Endothelial_cells:huvec.il.1b.3","IL.1beta stimulated and non.stimulated endothelial cells","GSM476786","GSE19240","Endothelial cells; IL.1beta; 16h","n/a","Endothelial_cells","Endoth","Endoth"
"194","Hs.68.Endothelial_cells.HUVEC.cntrl_48h.r1","Endothelial_cells:huvec:cntrl.1","Human Umbilical Vein ECs","GSM492832","GSE19735","Human Umbilical Vein ECs_1","n/a","Endothelial_cells","Endoth","Endoth"
"195","Hs.68.Endothelial_cells.HUVEC.cntrl_48h.r2","Endothelial_cells:huvec:cntrl.2","Human Umbilical Vein ECs","GSM492833","GSE19735","Human Umbilical Vein ECs_2","n/a","Endothelial_cells","Endoth","Endoth"
"196","Hs.79.Endothelial_cells.HUVEC.cntrl.","Endothelial_cells:huvec:cntrl.3","human umbilical vein endothelial cells","GSM551183","GSE22166","HUVEC_Unstimulated","n/a","Endothelial_cells","Endoth","Endoth"
"197","Hs.92.Endothelial_cells.HUVEC.cntrl.","Endothelial_cells:huvec:cntrl.4","Human umbilical vein endothelial cells (HUVEC) were stimulated with Interferon.gamma (IFN.g), Borrelia burgdorferi or both IFN.g and Borrelia or were left unstimulated.","GSM141251","GSE6092","HUVEC_UnStim_B","17202382","Endothelial_cells","Endoth","Endoth"
"198","Hs.92.Endothelial_cells.HUVEC.Borrelia_burgdorferi.r1","Endothelial_cells:huvec:borrelia_burgdorferi.1","Human umbilical vein endothelial cells (HUVEC) were stimulated with Interferon.gamma (IFN.g), Borrelia burgdorferi or both IFN.g and Borrelia or were left unstimulated.","GSM141252","GSE6092","HUVEC_Bb_A","17202382","Endothelial_cells","Endoth","Endoth"
"199","Hs.92.Endothelial_cells.HUVEC.Borrelia_burgdorferi.r2","Endothelial_cells:huvec:borrelia_burgdorferi.2","Human umbilical vein endothelial cells (HUVEC) were stimulated with Interferon.gamma (IFN.g), Borrelia burgdorferi or both IFN.g and Borrelia or were left unstimulated.","GSM141253","GSE6092","HUVEC_Bb_B","17202382","Endothelial_cells","Endoth","Endoth"
"200","Hs.92.Endothelial_cells.HUVEC.IFNg.","Endothelial_cells:huvec.ifng.1","Human umbilical vein endothelial cells (HUVEC) were stimulated with Interferon.gamma (IFN.g), Borrelia burgdorferi or both IFN.g and Borrelia or were left unstimulated.","GSM141255","GSE6092","HUVEC_IFNg_B","17202382","Endothelial_cells","Endoth","Endoth"
"201","Hs.93.Endothelial_cells.HUVEC.cntrl.r1","Endothelial_cells:huvec:cntrl.1","effects of Serum Amyloid A on gene expression profile in HUVECs","GSM143726","GSE6241","HUVEC control_1","n/a","Endothelial_cells","Endoth","Endoth"
"202","Hs.93.Endothelial_cells.HUVEC.cntrl.r2","Endothelial_cells:huvec:cntrl.2","effects of Serum Amyloid A on gene expression profile in HUVECs","GSM143727","GSE6241","HUVEC control_2","n/a","Endothelial_cells","Endoth","Endoth"
"203","Hs.93.Endothelial_cells.HUVEC.Serum_Amyloid_A_4h.r1","Endothelial_cells:huvec.serum_amyloid_a.1","effects of Serum Amyloid A on gene expression profile in HUVECs","GSM143728","GSE6241","HUVEC S4h_1","n/a","Endothelial_cells","Endoth","Endoth"
"204","Hs.93.Endothelial_cells.HUVEC.Serum_Amyloid_A_4h.r2","Endothelial_cells:huvec.serum_amyloid_a.2","effects of Serum Amyloid A on gene expression profile in HUVECs","GSM143729","GSE6241","HUVEC S4h_2","n/a","Endothelial_cells","Endoth","Endoth"
"205","Hs.93.Endothelial_cells.HUVEC.Serum_Amyloid_A_24h.r1","Endothelial_cells:huvec.serum_amyloid_a.3","effects of Serum Amyloid A on gene expression profile in HUVECs","GSM143730","GSE6241","HUVEC S24h_1","n/a","Endothelial_cells","Endoth","Endoth"
"206","Hs.93.Endothelial_cells.HUVEC.Serum_Amyloid_A_24h.r2","Endothelial_cells:huvec.serum_amyloid_a.4","effects of Serum Amyloid A on gene expression profile in HUVECs","GSM143731","GSE6241","HUVEC S24h_2","n/a","Endothelial_cells","Endoth","Endoth"
